referenceID,siteID,exp_or_control,year,family,genus,species,id2species,abund
Pekar1998,19,E,1993,,Araniella,cucurbitina,1,20
Pekar1998,19,E,1993,,Gibbaranea,gibbosa,1,4
Pekar1998,19,E,1993,,Mangora,acalypha,1,4
Pekar1998,19,E,1993,,Microlinyphia,pusilla,1,1
Pekar1998,19,E,1993,,Theridion,impressum,1,24
Pekar1998,19,E,1993,,Theridion,varians,1,21
Pekar1998,19,E,1993,,Philodromus,cespitum,1,19
Pekar1998,19,E,1993,,Philodromus,rufus,1,1
Pekar1998,19,E,1993,,Misumenops,tricuspidatus,1,7
Pekar1998,19,E,1993,,Salticus,scenicus,1,2
Pekar1998,20,E,1993,,Tetragnatha,pinicola,1,1
Pekar1998,20,E,1993,,Aculepeira,ceropegia,1,4
Pekar1998,20,E,1993,,Araniella,cucurbitina,1,40
Pekar1998,20,E,1993,,Gibbaranea,gibbosa,1,4
Pekar1998,20,E,1993,,Mangora,acalypha,1,20
Pekar1998,20,E,1993,,Erigone,atra,1,1
Pekar1998,20,E,1993,,Theridion,impressum,1,23
Pekar1998,20,E,1993,,Theridion,pinastri,1,3
Pekar1998,20,E,1993,,Theridion,varians,1,12
Pekar1998,20,E,1993,,Clubiona,pallidula,1,12
Pekar1998,20,E,1993,,Philodromus,cespitum,1,31
Pekar1998,20,E,1993,,Philodromus,rufus,1,2
Pekar1998,20,E,1993,,Misumena,vatia,1,1
Pekar1998,20,E,1993,,Misumenops,tricuspidatus,1,18
Pekar1998,20,E,1993,,Ozyptila,praticola,1,1
Pekar1998,20,E,1993,,Xysticus,cristatus,1,1
Pekar1998,20,E,1993,,Pseudicius,encarpatus,1,4
Pekar1998,21,E,1993,,Aculepeira,ceropegia,1,3
Pekar1998,21,E,1993,,Araniella,cucurbitina,1,16
Pekar1998,21,E,1993,,Gibbaranea,gibbosa,1,4
Pekar1998,21,E,1993,,Mangora,acalypha,1,4
Pekar1998,21,E,1993,,Hylyphantes,graminicola,1,1
Pekar1998,21,E,1993,,Theridion,bimaculatum,1,19
Pekar1998,21,E,1993,,Theridion,impressum,1,4
Pekar1998,21,E,1993,,Theridion,varians,1,11
Pekar1998,21,E,1993,,Dictyna,uncinata,1,3
Pekar1998,21,E,1993,,Clubiona,pallidula,1,7
Pekar1998,21,E,1993,,Philodromus,rufus,1,7
Pekar1998,21,E,1993,,Misumenops,tricuspidatus,1,8
Pekar1998,22,C,1993,,Araniella,cucurbitina,1,64
Pekar1998,22,C,1993,,Gibbaranea,gibbosa,1,11
Pekar1998,22,C,1993,,Mangora,acalypha,1,4
Pekar1998,22,C,1993,,Meioneta,rurestris,1,1
Pekar1998,22,C,1993,,Theridion,impressum,1,16
Pekar1998,22,C,1993,,Theridion,pinastri,1,4
Pekar1998,22,C,1993,,Theridion,varians,1,33
Pekar1998,22,C,1993,,Clubiona,pallidula,1,7
Pekar1998,22,C,1993,,Philodromus,cespitum,1,60
Pekar1998,22,C,1993,,Philodromus,rufus,1,11
Pekar1998,22,C,1993,,Misumenops,tricuspidatus,1,4
Pekar1998,22,C,1993,,Ozyptila,praticola,1,2
Pekar1998,22,C,1993,,Xysticus,cristatus,1,3
Pekar1998,23,E,1994,,Araniella,cucurbitina,1,25
Pekar1998,23,E,1994,,Gibbaranea,gibbosa,1,3
Pekar1998,23,E,1994,,Lariniodies,patagiatus,1,3
Pekar1998,23,E,1994,,Mangora,acalypha,1,3
Pekar1998,23,E,1994,,Anelosimus,vittatus,1,3
Pekar1998,23,E,1994,,Enoplognatha,latimana,1,3
Pekar1998,23,E,1994,,Theridion,impressum,1,12
Pekar1998,23,E,1994,,Theridion,varians,1,3
Pekar1998,23,E,1994,,Cheiracanthium,virescens,1,1
Pekar1998,23,E,1994,,Clubiona,pallidula,1,3
Pekar1998,23,E,1994,,Philodromus,cespitum,1,45
Pekar1998,23,E,1994,,Philodromus,margaritatus,1,2
Pekar1998,23,E,1994,,Philodromus,rufus,1,1
Pekar1998,23,E,1994,,Misumenops,tricuspidatus,1,30
Pekar1998,23,E,1994,,Thomisus,onustus,1,5
Pekar1998,23,E,1994,,Salticus,scenicus,1,1
Pekar1998,24,E,1994,,Tetragnatha,pinicola,1,15
Pekar1998,24,E,1994,,Araniella,cucurbitina,1,49
Pekar1998,24,E,1994,,Mangora,acalypha,1,4
Pekar1998,24,E,1994,,Anelosimus,vittatus,1,7
Pekar1998,24,E,1994,,Robertus,spp,0,1
Pekar1998,24,E,1994,,Theridion,bimaculatum,1,27
Pekar1998,24,E,1994,,Theridion,impressum,1,35
Pekar1998,24,E,1994,,Theridion,varians,1,24
Pekar1998,24,E,1994,,Nigma,walckenaeri,1,2
Pekar1998,24,E,1994,,Clubiona,pallidula,1,4
Pekar1998,24,E,1994,,Philodromus,cespitum,1,55
Pekar1998,24,E,1994,,Misumenops,tricuspidatus,1,39
Pekar1998,24,E,1994,,Ballus,chalybeius,1,1
Pekar1998,24,E,1994,,Salticus,scenicus,1,2
Pekar1998,25,E,1994,,Tetragnatha,pinicola,1,7
Pekar1998,25,E,1994,,Araniella,cucurbitina,1,65
Pekar1998,25,E,1994,,Lariniodies,patagiatus,1,3
